Luas_Tanah_m2;Luas_Bangunan_m2;Kamar_Tidur;Umur_Bangunan_tahun;Jarak_Pusat_Kota_km;Harga_Properti_juta
18994;24396;5;22;548;84727
19633;433;1;15;1304;2000
37832;20227;1;30;1825;2000
3369;23078;3;10;701;65066
44925;13602;5;21;1218;90221
2625;24861;4;15;1398;66951
10382;4129;1;7;959;2000
37096;4382;4;3;1456;5933
39235;33436;1;7;1809;5358
30257;16327;1;3;1286;27752
39694;7701;1;23;1126;2000
27221;22323;5;24;934;90844
28523;3149;2;2;1197;5439
24239;10985;4;2;775;79432
6144;26047;5;26;844;79328
9855;6158;5;28;1111;59152
6414;4912;5;17;227;70242
33638;2266;5;28;535;96635
19146;23003;5;25;1131;80318
27886;26585;3;18;92;64173
4584;29865;4;18;732;93197
16218;39107;5;20;1488;90179
23467;22103;4;4;1418;75835
3900;14949;3;17;417;63198
15296;32422;3;27;1769;47147
8464;13021;4;9;1041;54143
18039;19242;1;28;1509;2000
12255;5903;2;21;1189;2000
46836;3938;1;20;1996;2000
41365;38618;1;5;153;47374
33503;33931;1;0;1443;46339
44216;28751;5;4;1579;97075
41165;18131;3;8;372;61771
13396;9412;1;11;489;2000
45165;8788;3;25;1457;42313
2927;12259;4;13;1039;58649
41335;23321;2;1;1534;57324
45324;2944;4;16;296;10326
1931;27427;4;13;1119;69922
9952;13358;5;25;82;69584
15257;3833;2;12;968;51074
2422;30302;4;26;1248;67577
41811;23511;4;8;1054;88493
43733;25634;2;25;1126;53664
5313;18525;2;24;1024;20893
27984;12166;4;14;877;68179
23783;16171;2;24;1567;33581
14995;3104;4;21;123;84045
10394;3533;4;14;1237;52842
20193;7295;5;23;1174;74532
47431;4702;1;29;1461;20141
19544;4507;4;10;1238;61141
28346;34652;3;30;1671;55909
36636;29035;1;15;1922;27914
21363;20544;1;28;751;21124
4873;662;1;16;532;28669
4831;2119;5;25;905;84795
1633;20518;4;3;647;75212
27376;9408;5;0;1268;85322
1854;19053;4;7;1833;59746
17818;17745;5;16;364;85501
666;25786;5;2;292;94269
3243;26498;3;28;586;69338
27621;4676;5;19;148;66454
7317;16861;2;14;1227;3466
17539;26157;3;14;294;51193
45872;21616;5;30;1846;88508
1578;3469;1;23;1601;29619
1152;27372;2;21;144;50229
27025;9029;2;13;1338;20796
49354;5611;2;25;1565;3611
15892;2677;3;27;811;52501
35246;3981;5;22;231;69851
39273;24674;5;13;247;111897
15694;37789;1;23;298;45819
3777;24293;1;1;1697;26327
2155;17362;2;12;183;31242
33454;26802;1;25;333;44282
33509;19955;3;13;548;71889
2911;23188;5;26;414;95146
9063;37834;2;23;454;35522
42589;17286;1;18;1691;27861
19435;38564;3;6;731;74168
13393;36498;3;2;692;77954
6835;10244;1;14;532;2000
3159;5566;5;22;1255;71598
3549;6729;1;13;821;26623
5746;3674;2;10;1514;2000
28044;6494;1;14;491;22186
15192;28271;3;27;1597;42967
34033;5634;1;12;1247;2000
12846;14802;5;17;317;84434
36092;3426;4;25;888;80044
22403;3861;1;5;1741;2000
47153;33135;5;2;1854;106979
11188;13429;5;18;985;62061
20348;7372;3;14;1014;34625
10106;28779;5;24;1845;71128
46611;26271;5;22;1215;98445
4448;35466;5;4;162;125713
16607;30198;5;27;1834;67665
34699;32729;2;9;572;66496
41775;13435;2;6;1198;4543
29984;9565;3;24;414;47088
28834;30773;1;16;164;41153
15883;32853;5;6;692;103313
919;39649;1;21;1583;26354
45375;18267;1;25;627;33783
45519;16765;3;29;518;62709
3349;31727;5;11;504;111227
20256;1561;5;24;1079;74341
20714;37438;4;16;1954;73039
37668;34761;1;12;972;51614
4537;18873;1;19;1159;30035
44919;30782;2;24;1735;50826
40094;30918;4;3;1117;89593

